Year,Topic,,,,,,,,,,
2023,Unlinkability,,,,,,,,,,
2022,Policy,,,,,,,,,,
2022,Policy,,,,,,,,,,
2021,Deniability,,,Count of Topic,Column Labels,,,,,,
2021,Awareness,,,Row Labels,Anonymity,Awareness,Deniability,Policy,Unlinkability,Unobservability,Grand Total
2016,Anonymity,,,2015,0,2,0,1,0,0,3
2015,Awareness,,,2016,1,0,0,0,0,1,2
2023,Unobservability,,,2018,1,0,0,0,0,0,1
2023,Unobservability,,,2019,1,1,0,0,0,1,3
2023,Unlinkability,,,2020,0,0,0,0,0,1,1
2023,Unobservability,,,2021,1,1,1,0,0,2,5
2023,Awareness,,,2022,0,0,1,2,1,3,7
2023,Awareness,,,2023,2,5,0,1,3,3,14
2023,Awareness,,,Grand Total,6,9,2,4,4,11,36
2023,Awareness,,,,,,,,,,
2023,Awareness,,,,,,,,,,
2023,Policy,,,,,,,,,,
2022,Unobservability,,,,,,,,,,
2019,Awareness,,,,,,,,,,
2015,Awareness,,,,,,,,,,
2015,Policy,,,,,,,,,,
2019,Unobservability,,,,,,,,,,
2023,Unlinkability,,,,,,,,,,
2023,Anonymity,,,,,,,,,,
2023,Anonymity,,,,,,,,,,
2022,Unobservability,,,,,,,,,,
2022,Unobservability,,,,,,,,,,
2022,Deniability,,,,,,,,,,
2022,Unlinkability,,,,,,,,,,
2021,Unobservability,,,,,,,,,,
2021,Unobservability,,,,,,,,,,
2021,Anonymity,,,,,,,,,,
2020,Unobservability,,,,,,,,,,
2019,Anonymity,,,,,,,,,,
2018,Anonymity,,,,,,,,,,
2016,Unobservability,,,,,,,,,,
