Year,Strategy
2023,Benchmarking
2023,Benchmarking
2023,Benchmarking
2023,"Experiment with Human participants,Qualitative Survey (Interviews)"
2023,"Experiment with Human participants,Qualitative Survey (Interviews),Questionnaire Surveys"
2022,Benchmarking
2022,"Experiment with Human participants,Questionnaire Surveys"
2022,Benchmarking
2021,"Experiment with Human participants,Questionnaire Surveys"
2021,"Experiment with Human participants,Questionnaire Surveys"
2021,"Benchmarking,Experiment with Human participants,Questionnaire Surveys"
2021,Benchmarking
2020,"Benchmarking,Data Science,Experiment with Human participants"
2019,Benchmarking
2019,"Experiment with Human participants,Questionnaire Surveys"
2019,"Benchmarking,Data Science,Experiment with Human participants"
2017,Benchmarking
2017,"Experiment with Human participants,Questionnaire Surveys"
2017,"Data Science,Experiment with Human participants"
2016,Benchmarking
2015,"Experiment with Human participants,Questionnaire Surveys"
2023,"Benchmarking,Data Science"
2023,"Benchmarking,Engineering Research"
2023,"Benchmarking,Data Science"
2023,"Experiment with Human participants,Qualitative Survey (Interviews)"
2023,"Experiment with Human participants,Qualitative Survey (Interviews)"
2023,Qualitative Survey (Interviews)
2023,"Experiment with Human participants,Qualitative Survey (Interviews)"
2023,"Experiment with Human participants,Qualitative Survey (Interviews)"
2023,"Experiment with Human participants,Questionnaire Surveys"
2023,"Experiment with Human participants,Qualitative Survey (Interviews)"
2023,"Experiment with Human participants,Qualitative Survey (Interviews)"
2022,"Experiment with Human participants,Qualitative Survey (Interviews)"
2022,Experiment with Human participants
2022,Qualitative Survey (Interviews)
2022,"Experiment with Human participants,Qualitative Survey (Interviews)"
2022,"Experiment with Human participants,Qualitative Survey (Interviews),Questionnaire Surveys"
2021,"Benchmarking,Experiment with Human participants,Qualitative Survey (Interviews)"
2021,"Experiment with Human participants,Qualitative Survey (Interviews),Questionnaire Surveys"
2021,"Experiment with Human participants,Questionnaire Surveys"
2021,"Experiment with Human participants,Questionnaire Surveys"
2019,"Experiment with Human participants,Qualitative Survey (Interviews)"
2019,"Experiment with Human participants,Qualitative Survey (Interviews),Questionnaire Surveys"
2019,"Experiment with Human participants,Questionnaire Surveys"
2018,Qualitative Survey (Interviews)
2016,Benchmarking
2015,"Experiment with Human participants,Qualitative Survey (Interviews)"
2015,"Experiment with Human participants,Questionnaire Surveys"
2015,Qualitative Survey (Interviews)
2015,"Experiment with Human participants,Questionnaire Surveys"
2014,Qualitative Survey (Interviews)
2023,"Benchmarking,Data Science"
2023,"Benchmarking,Meta Science"
2022,"Meta Science,Questionnaire Surveys"
2019,"Benchmarking,Data Science"
2023,Qualitative Survey (Interviews)
2023,Benchmarking
2022,"Benchmarking,Engineering Research"
2014,Benchmarking
2023,"Benchmarking,Experiment with Human participants"
2023,"Benchmarking,Data Science,Experiment with Human participants"
2023,"Benchmarking,Data Science,Experiment with Human participants"
2023,"Benchmarking,Experiment with Human participants,Questionnaire Surveys"
2023,"Benchmarking,Data Science"
2023,"Benchmarking,Data Science"
2023,"Benchmarking,Data Science"
2023,Benchmarking
2023,Benchmarking
2023,"Benchmarking,Data Science"
2022,"Benchmarking,Data Science"
2022,"Benchmarking,Experiment with Human participants,Questionnaire Surveys"
2022,Benchmarking
2022,Benchmarking
2022,"Benchmarking,Data Science"
2021,"Benchmarking,Experiment with Human participants,Qualitative Survey (Interviews)"
2021,"Benchmarking,Data Science"
2021,Benchmarking
2021,"Benchmarking,Data Science"
2021,Benchmarking
2021,"Benchmarking,Experiment with Human participants,Questionnaire Surveys"
2021,"Benchmarking,Data Science"
2020,"Benchmarking,Experiment with Human participants,Qualitative Survey (Interviews)"
2020,"Benchmarking,Experiment with Human participants"
2019,Benchmarking
2018,"Benchmarking,Data Science"
2016,Benchmarking
2015,Benchmarking
